"SubjID","Group","Resp","SignalStrength","n_trials","q1","q3","q5","q7","q9","GroupName","RespName"
11,1,2,0.773809762908943,7,1.0086,1.1794,1.308,1.4096,1.566,"Control","NotLookingAtMe"
11,1,1,1.16071464436341,8,0.69,0.7578,0.8605,0.9434,1.1043,"Control","LookingAtMe"
11,1,2,1.16071464436341,3,0.6422,0.7986,0.955,1.229,1.503,"Control","NotLookingAtMe"
11,1,1,1.54761952581789,12,0.615,0.6601,0.752,0.8065,1.0181,"Control","LookingAtMe"
11,1,2,1.54761952581789,0,NA,NA,NA,NA,NA,"Control","NotLookingAtMe"
12,1,2,-1.54761952581789,12,0.7021,0.7401,0.82,1.0409,1.2271,"Control","NotLookingAtMe"
12,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
12,1,2,-1.16071464436341,12,0.7951,0.823,0.945,1.0261,1.0565,"Control","NotLookingAtMe"
12,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
12,1,2,-0.773809762908943,12,0.6964,0.727,0.783,0.8526,1.2534,"Control","NotLookingAtMe"
12,1,1,-0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
12,1,2,-0.386904881454471,12,0.7619,0.7887,0.816,0.8647,1.0474,"Control","NotLookingAtMe"
12,1,1,-0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
12,1,2,0,11,0.762,0.845,0.919,0.925,1.01,"Control","NotLookingAtMe"
12,1,1,0,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
12,1,2,0.386904881454471,12,0.753,0.8705,0.9605,1.1745,1.3233,"Control","NotLookingAtMe"
12,1,1,0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
12,1,1,0.773809762908943,1,1.643,1.643,1.643,1.643,1.643,"Control","LookingAtMe"
12,1,2,0.773809762908943,10,0.9512,0.9794,1.0835,1.1696,1.2949,"Control","NotLookingAtMe"
12,1,1,1.16071464436341,8,0.7438,0.8848,0.977,1.0665,1.2217,"Control","LookingAtMe"
12,1,2,1.16071464436341,4,1.0563,1.0629,1.298,1.5412,1.5964,"Control","NotLookingAtMe"
12,1,1,1.54761952581789,12,0.812,0.8557,0.909,0.9986,1.1677,"Control","LookingAtMe"
12,1,2,1.54761952581789,0,NA,NA,NA,NA,NA,"Control","NotLookingAtMe"
13,1,2,-1.54761952581789,12,0.7748,0.9078,0.981,1.0303,1.0899,"Control","NotLookingAtMe"
13,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
13,1,2,-1.16071464436341,12,0.7103,0.7939,0.887,1.0157,1.0818,"Control","NotLookingAtMe"
13,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
13,1,2,-0.773809762908943,12,0.7072,0.7339,0.7865,0.8628,1.1135,"Control","NotLookingAtMe"
13,1,1,-0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
13,1,1,-0.386904881454471,1,0.699,0.699,0.699,0.699,0.699,"Control","LookingAtMe"
13,1,2,-0.386904881454471,11,0.742,0.825,0.941,0.998,1.114,"Control","NotLookingAtMe"
13,1,2,0,12,0.7718,0.8593,0.917,0.9961,1.1962,"Control","NotLookingAtMe"
13,1,1,0,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
13,1,2,0.386904881454471,12,0.8454,0.8972,0.966,1.0906,1.5361,"Control","NotLookingAtMe"
13,1,1,0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
13,1,1,0.773809762908943,4,1.0591,1.2133,1.26,1.3372,1.6744,"Control","LookingAtMe"
13,1,2,0.773809762908943,8,0.8724,1.037,1.1785,1.2714,1.4209,"Control","NotLookingAtMe"
13,1,1,1.16071464436341,11,0.797,0.862,1.023,1.188,1.421,"Control","LookingAtMe"
13,1,2,1.16071464436341,1,2.086,2.086,2.086,2.086,2.086,"Control","NotLookingAtMe"
13,1,1,1.54761952581789,12,0.7578,0.8255,0.883,0.9906,1.1317,"Control","LookingAtMe"
13,1,2,1.54761952581789,0,NA,NA,NA,NA,NA,"Control","NotLookingAtMe"
14,1,2,-1.54761952581789,12,0.8653,1.0203,1.0825,1.1606,1.3933,"Control","NotLookingAtMe"
14,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
14,1,2,-1.16071464436341,11,0.854,0.949,1.009,1.057,1.115,"Control","NotLookingAtMe"
14,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
14,1,1,-0.773809762908943,1,1.327,1.327,1.327,1.327,1.327,"Control","LookingAtMe"
14,1,2,-0.773809762908943,10,0.7943,0.9353,1.0105,1.1286,1.1776,"Control","NotLookingAtMe"
14,1,2,-0.386904881454471,12,0.959,1.0415,1.083,1.1642,1.2769,"Control","NotLookingAtMe"
14,1,1,-0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
14,1,1,0,1,0.99,0.99,0.99,0.99,0.99,"Control","LookingAtMe"
14,1,2,0,11,0.914,1.089,1.182,1.319,1.519,"Control","NotLookingAtMe"
14,1,1,0.386904881454471,4,0.976,1.036,1.0595,1.0963,1.2361,"Control","LookingAtMe"
14,1,2,0.386904881454471,8,1.041,1.1067,1.1835,1.3521,1.4547,"Control","NotLookingAtMe"
14,1,1,0.773809762908943,8,1.1445,1.1493,1.1985,1.4799,1.7497,"Control","LookingAtMe"
14,1,2,0.773809762908943,2,1.2782,1.3726,1.467,1.5614,1.6558,"Control","NotLookingAtMe"
14,1,1,1.16071464436341,11,0.986,1.06,1.143,1.173,1.241,"Control","LookingAtMe"
14,1,2,1.16071464436341,1,1.203,1.203,1.203,1.203,1.203,"Control","NotLookingAtMe"
14,1,1,1.54761952581789,12,0.9651,1.0053,1.0135,1.0974,1.2019,"Control","LookingAtMe"
14,1,2,1.54761952581789,0,NA,NA,NA,NA,NA,"Control","NotLookingAtMe"
15,1,2,-1.54761952581789,12,0.7082,0.7623,0.7775,0.9845,1.1051,"Control","NotLookingAtMe"
15,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
15,1,2,-1.16071464436341,12,0.7074,0.7429,0.8085,0.8937,1.0107,"Control","NotLookingAtMe"
15,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
15,1,2,-0.773809762908943,12,0.6866,0.7238,0.7725,0.8234,1.0156,"Control","NotLookingAtMe"
15,1,1,-0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
15,1,2,-0.386904881454471,12,0.6532,0.7238,0.765,0.9256,1.086,"Control","NotLookingAtMe"
15,1,1,-0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
15,1,2,0,12,0.7061,0.7205,0.788,0.813,1.1071,"Control","NotLookingAtMe"
15,1,1,0,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
15,1,2,0.386904881454471,12,0.671,0.7399,0.7665,0.8378,1.0824,"Control","NotLookingAtMe"
15,1,1,0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
15,1,1,0.773809762908943,1,0.835,0.835,0.835,0.835,0.835,"Control","LookingAtMe"
15,1,2,0.773809762908943,11,0.9,0.929,1.001,1.017,1.18,"Control","NotLookingAtMe"
15,1,1,1.16071464436341,8,0.7413,0.8197,0.951,1.0544,1.2165,"Control","LookingAtMe"
15,1,2,1.16071464436341,4,0.9402,1.0926,1.1815,1.2734,1.4438,"Control","NotLookingAtMe"
15,1,1,1.54761952581789,10,0.7427,0.7941,0.8395,0.9408,1.0186,"Control","LookingAtMe"
15,1,2,1.54761952581789,2,0.7671,0.8213,0.8755,0.9297,0.9839,"Control","NotLookingAtMe"
16,1,2,-1.54761952581789,12,0.7911,0.8056,0.8645,1.1462,1.386,"Control","NotLookingAtMe"
16,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
16,1,2,-1.16071464436341,12,0.7334,0.789,0.829,0.883,0.9735,"Control","NotLookingAtMe"
16,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
